"","Module","Policy","ISO","year","Value","Policytype","Policytype_detail","diff","diff_2","introduction","diff_adj","diff_2_adj","source","Policy_name","Broad_category","Policytype_detail_new","Market_non_market","label","High_income"
"17","Transport","Labels Passenger Cars","BEL",1999,10,"NMBI","Information",10,0,0,1,0,"OECD","Label","Label","Information","Non-market","jump",1
"18","Transport","Labels Passenger Cars","IRL",1999,10,"NMBI","Information",10,0,0,1,0,"OECD","Label","Label","Information","Non-market","jump",1
"19","Transport","Labels Passenger Cars","FRA",1999,10,"NMBI","Information",10,0,0,1,0,"OECD","Label","Label","Information","Non-market","jump",1
"20","Transport","Labels Passenger Cars","ESP",1999,10,"NMBI","Information",10,0,0,1,0,"OECD","Label","Label","Information","Non-market","jump",1
"21","Transport","Labels Passenger Cars","NLD",1999,10,"NMBI","Information",10,0,0,1,0,"OECD","Label","Label","Information","Non-market","jump",1
"22","Transport","Labels Passenger Cars","GRC",1999,10,"NMBI","Information",10,0,0,1,0,"OECD","Label","Label","Information","Non-market","jump",1
"23","Transport","Labels Passenger Cars","AUT",1999,10,"NMBI","Information",10,0,0,1,0,"OECD","Label","Label","Information","Non-market","jump",1
"24","Transport","Labels Passenger Cars","FIN",1999,10,"NMBI","Information",10,0,0,1,0,"OECD","Label","Label","Information","Non-market","jump",1
"25","Transport","Labels Passenger Cars","DNK",1999,10,"NMBI","Information",10,0,0,1,0,"OECD","Label","Label","Information","Non-market","jump",1
"26","Transport","Labels Passenger Cars","ITA",1999,10,"NMBI","Information",10,0,0,1,0,"OECD","Label","Label","Information","Non-market","jump",1
"27","Buildings","Financial support","HUN",2000,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Subsidy","Green subsidy","","Market","jump",1
"28","Buildings","MEPS of appliances","BRA",2000,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD","Minimum energy performance standard","Minimum energy performance standard","Performance Standards","Non-market","jump",0
"29","Buildings","MEPS of appliances","COL",2000,5,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Minimum energy performance standard","Minimum energy performance standard","Performance Standards","Non-market","jump",0
"30","Electricity","AirEmissionStandards","SWE",2000,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"31","Electricity","AirEmissionStandards","HUN",2000,2,"NMBI","Performance Standards",2,2,1,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"32","Electricity","AirEmissionStandards","SVK",2000,2,"NMBI","Performance Standards",2,2,1,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"33","Transport","Excise Tax Transport","JPN",2000,5,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Fuel excise tax","Driving taxation","Carbon Pricing","Market","jump",1
"34","Transport","Financial support","NOR",2000,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Subsidy","Green subsidy","","Market","jump",1
"35","Transport","Investment in Rail Infrastructure","IRL",2000,4,"NMBI","Other NMBI",3,3,0,1,1,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"36","Transport","Investment in Rail Infrastructure","NOR",2000,6,"NMBI","Other NMBI",3,1,0,1,0,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"37","Transport","Labels Passenger Cars","RUS",2000,10,"NMBI","Information",10,10,1,1,1,"OECD","Label","Label","Information","Non-market","jump",0
"38","Buildings","BuildingEnergyCodes","KOR",2001,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD","Building energy code","Building code","Performance Standards","Non-market","jump",0
"39","Buildings","Financial support","CZE",2001,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Subsidy","Green subsidy","","Market","jump",1
"40","Buildings","Financial support","FRA",2001,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Subsidy","Green subsidy","","Market","jump",1
"41","Buildings","Labels Appliances","NOR",2001,8,"NMBI","Information",3,3,0,1,1,"OECD","Label","Label","Information","Non-market","jump",1
"42","Buildings","MEPS of appliances","AUS",2001,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Minimum energy performance standard","Minimum energy performance standard","Performance Standards","Non-market","jump",1
"43","Electricity","Auction","DEU",2001,2,"MBI","Subsidy",2,2,1,1,1,"OECD","Renewable auction","Renewable subsidy","Subsidy","Market","jump",1
"44","Electricity","Feed-In-Tariffs","HUN",2001,3,"MBI","Subsidy",3,0,1,1,0,"OECD","Renewable feed in tariff","Renewable subsidy","Subsidy","Market","jump",1
"45","Electricity","Feed-In-Tariffs","FRA",2001,3,"MBI","Subsidy",2,0,0,1,0,"OECD","Renewable feed in tariff","Renewable subsidy","Subsidy","Market","jump",1
"46","Electricity","Renewable energy certificates","AUS",2001,1,"MBI","Subsidy",1,1,1,0,0,"OECD","Renewable portfolio standard","Renewable portfolio standard","Subsidy","Non-market","jump",1
"47","Transport","Investment in Rail Infrastructure","ITA",2001,9,"NMBI","Other NMBI",1,2,0,0,1,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"48","Transport","Investment in Rail Infrastructure","RUS",2001,10,"NMBI","Other NMBI",1,2,0,0,1,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",0
"49","Transport","Investment in Rail Infrastructure","CZE",2001,10,"NMBI","Other NMBI",1,2,0,0,1,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"50","Transport","Investment in Rail Infrastructure","SVK",2001,8,"NMBI","Other NMBI",4,5,0,1,1,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"51","Transport","Labels Passenger Cars","AUS",2001,10,"NMBI","Information",10,10,1,1,1,"OECD","Label","Label","Information","Non-market","jump",1
"52","Transport","Taxation","GBR",2001,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Vehicle tax","Vehicle taxation","","Market","jump",1
"53","Buildings","Excise Taxes Buildings","POL",2002,1,"MBI","Carbon Pricing",1,1,1,0,0,"OECD","Fuel excise tax","Taxation","Carbon Pricing","Market","jump",1
"54","Buildings","Financial support","FRA",2002,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Subsidy","Green subsidy","","Market","jump",1
"55","Buildings","Financial support","JPN",2002,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Subsidy","Green subsidy","","Market","jump",1
"56","Buildings","Financial support","NOR",2002,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Subsidy","Green subsidy","","Market","jump",1
"57","Buildings","Labels Appliances","CHE",2002,5,"NMBI","Information",5,5,1,1,1,"OECD","Label","Label","Information","Non-market","jump",1
"58","Buildings","Labels Appliances","NZL",2002,8,"NMBI","Information",5,5,0,1,1,"OECD","Label","Label","Information","Non-market","jump",1
"59","Buildings","MEPS of appliances","NZL",2002,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD","Minimum energy performance standard","Minimum energy performance standard","Performance Standards","Non-market","jump",1
"60","Electricity","AirEmissionStandards","SWE",2002,5,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"61","Electricity","AirEmissionStandards","FIN",2002,6,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"62","Electricity","AirEmissionStandards","DEU",2002,6,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"63","Electricity","AirEmissionStandards","CZE",2002,5,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"64","Electricity","AirEmissionStandards","AUS",2002,2,"NMBI","Performance Standards",2,2,1,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"65","Electricity","AirEmissionStandards","NOR",2002,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"66","Electricity","Feed-In-Tariffs","CZE",2002,4,"MBI","Subsidy",4,4,1,1,1,"OECD","Renewable feed in tariff","Renewable subsidy","Subsidy","Market","jump",1
"67","Electricity","Feed-In-Tariffs","IND",2002,5,"MBI","Subsidy",2,2,0,1,1,"OECD","Renewable feed in tariff","Renewable subsidy","Subsidy","Market","jump",0
"68","Electricity","Feed-In-Tariffs","BRA",2002,4,"MBI","Subsidy",4,4,1,1,1,"OECD","Renewable feed in tariff","Renewable subsidy","Subsidy","Market","jump",0
"69","Electricity","Renewable energy certificates","ITA",2002,3,"MBI","Subsidy",3,3,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Subsidy","Non-market","jump",1
"70","Electricity","Renewable subsidy","COL",2002,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Renewable Subsidy","Renewable subsidy","","Market","jump",0
"71","Industry","Financing mechanism","BEL",2002,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Financing mechanism","Green subsidy","","Market","jump",1
"72","Industry","MEPS electric motors","NZL",2002,7,"NMBI","Performance Standards",7,7,1,1,1,"OECD","Minimum energy performance standard","Minimum energy performance standard","Performance Standards","Non-market","jump",1
"73","Industry","MEPS electric motors","AUS",2002,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD","Minimum energy performance standard","Minimum energy performance standard","Performance Standards","Non-market","jump",1
"74","Transport","Financial support","SWE",2002,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Subsidy","Green subsidy","","Market","jump",1
"75","Transport","Investment in Rail Infrastructure","GRC",2002,7,"NMBI","Other NMBI",4,1,0,1,0,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"76","Transport","Investment in Rail Infrastructure","ROU",2002,3,"NMBI","Other NMBI",2,2,0,1,1,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"77","Transport","Investment in Rail Infrastructure","ESP",2002,7,"NMBI","Other NMBI",1,2,0,0,1,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"78","Transport","Labels Passenger Cars","CHE",2002,10,"NMBI","Information",10,10,1,1,1,"OECD","Label","Label","Information","Non-market","jump",1
"79","Transport","Taxation","GBR",2002,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Vehicle tax","Vehicle taxation","","Market","jump",1
"80","Buildings","Carbon Tax Buildings","SWE",2003,10,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Carbon tax","Taxation","Carbon Pricing","Market","jump",1
"81","Buildings","Excise Taxes Buildings","AUT",2003,4,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Fuel excise tax","Taxation","Carbon Pricing","Market","jump",1
"82","Buildings","Excise Taxes Buildings","DEU",2003,4,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Fuel excise tax","Taxation","Carbon Pricing","Market","jump",1
"83","Buildings","MEPS of appliances","CHN",2003,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Minimum energy performance standard","Minimum energy performance standard","Performance Standards","Non-market","jump",0
"84","Electricity","AirEmissionStandards","CAN",2003,7,"NMBI","Performance Standards",7,7,1,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"85","Electricity","AirEmissionStandards","DNK",2003,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"86","Electricity","AirEmissionStandards","GBR",2003,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"87","Electricity","AirEmissionStandards","HUN",2003,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"88","Electricity","AirEmissionStandards","PRT",2003,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"89","Electricity","AirEmissionStandards","IRL",2003,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"90","Electricity","Feed-In-Tariffs","NLD",2003,2,"MBI","Subsidy",2,2,1,1,1,"OECD","Renewable feed in tariff","Renewable subsidy","Subsidy","Market","jump",1
"91","Electricity","Feed-In-Tariffs","AUT",2003,3,"MBI","Subsidy",2,2,0,1,1,"OECD","Renewable feed in tariff","Renewable subsidy","Subsidy","Market","jump",1
"92","Electricity","Feed-In-Tariffs","KOR",2003,4,"MBI","Subsidy",4,4,1,1,1,"OECD","Renewable feed in tariff","Renewable subsidy","Subsidy","Market","jump",0
"93","Electricity","Renewable energy certificates","JPN",2003,2,"MBI","Subsidy",2,2,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Subsidy","Non-market","jump",1
"94","Electricity","Renewable energy certificates","GBR",2003,4,"MBI","Subsidy",4,4,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Subsidy","Non-market","jump",1
"95","Electricity","Renewable energy certificates","SWE",2003,6,"MBI","Subsidy",6,6,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Subsidy","Non-market","jump",1
"96","Electricity","Renewable energy certificates","BEL",2003,3,"MBI","Subsidy",3,3,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Subsidy","Non-market","jump",1
"97","Industry","Excise Taxes Industry","AUT",2003,5,"MBI","Carbon Pricing",2,3,0,1,1,"OECD","Fuel excise tax","Taxation","Carbon Pricing","Market","jump",1
"98","Transport","Carbon Tax Transport","SWE",2003,10,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Carbon tax","Driving taxation","Carbon Pricing","Market","jump",1
"99","Transport","Carbon Tax Transport","FIN",2003,6,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Carbon tax","Driving taxation","Carbon Pricing","Market","jump",1
"100","Transport","Congestion Charges","GBR",2003,8,"MBI","Other MBI",8,8,1,1,1,"OECD","Congestion charge","Driving taxation","Other MBI","Market","jump",1
"101","Transport","Congestion Charges","NOR",2003,4,"MBI","Other MBI",2,3,0,1,1,"OECD","Congestion charge","Driving taxation","Other MBI","Market","jump",1
"102","Transport","Excise Tax Transport","FRA",2003,7,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Fuel excise tax","Driving taxation","Carbon Pricing","Market","jump",1
"103","Transport","Excise Tax Transport","IRL",2003,5,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Fuel excise tax","Driving taxation","Carbon Pricing","Market","jump",1
"104","Transport","Excise Tax Transport","CHE",2003,8,"MBI","Carbon Pricing",2,3,0,1,1,"OECD","Fuel excise tax","Driving taxation","Carbon Pricing","Market","jump",1
"105","Transport","Excise Tax Transport","DEU",2003,9,"MBI","Carbon Pricing",3,4,0,1,1,"OECD","Fuel excise tax","Driving taxation","Carbon Pricing","Market","jump",1
"106","Transport","Investment in Rail Infrastructure","GRC",2003,9,"NMBI","Other NMBI",2,6,0,1,0,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"107","Transport","Investment in Rail Infrastructure","DEU",2003,8,"NMBI","Other NMBI",1,2,0,0,1,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"108","Transport","Investment in Rail Infrastructure","PRT",2003,6,"NMBI","Other NMBI",1,2,0,0,1,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"109","Transport","Investment in Rail Infrastructure","POL",2003,3,"NMBI","Other NMBI",2,2,0,1,1,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"110","Transport","Vehicle tax","ROU",2003,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Vehicle tax","Vehicle taxation","","Market","jump",1
"111","Buildings","BuildingEnergyCodes","BGR",2004,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD","Building energy code","Building code","Performance Standards","Non-market","jump",1
"112","Buildings","BuildingEnergyCodes","AUS",2004,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD","Building energy code","Building code","Performance Standards","Non-market","jump",1
"113","Buildings","Carbon Tax Buildings","FIN",2004,6,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Carbon tax","Taxation","Carbon Pricing","Market","jump",1
"114","Buildings","Financial support","BEL",2004,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Subsidy","Green subsidy","","Market","jump",1
"115","Buildings","Financial support","FRA",2004,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Subsidy","Green subsidy","","Market","jump",1
"116","Buildings","Financial support","SWE",2004,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Subsidy","Green subsidy","","Market","jump",1
"117","Buildings","MEPS of appliances","KOR",2004,10,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Minimum energy performance standard","Minimum energy performance standard","Performance Standards","Non-market","jump",0
"118","Buildings","MEPS of appliances","NZL",2004,8,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Minimum energy performance standard","Minimum energy performance standard","Performance Standards","Non-market","jump",1
"119","Electricity","AirEmissionStandards","FRA",2004,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"120","Electricity","AirEmissionStandards","BEL",2004,7,"NMBI","Performance Standards",5,5,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"121","Electricity","AirEmissionStandards","ESP",2004,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"122","Industry","Financing mechanism","KOR",2004,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Financing mechanism","Green subsidy","","Market","jump",0
"123","Industry","Financing mechanism","BEL",2004,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Financing mechanism","Green subsidy","","Market","jump",1
"124","Industry","MEPS electric motors","MEX",2004,7,"NMBI","Performance Standards",7,7,1,1,1,"OECD","Minimum energy performance standard","Minimum energy performance standard","Performance Standards","Non-market","jump",0
"125","Transport","Excise Tax Transport","JPN",2004,5,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Fuel excise tax","Driving taxation","Carbon Pricing","Market","jump",1
"126","Transport","Excise Tax Transport","FRA",2004,9,"MBI","Carbon Pricing",2,4,0,1,0,"OECD","Fuel excise tax","Driving taxation","Carbon Pricing","Market","jump",1
"127","Transport","Excise Tax Transport","AUT",2004,5,"MBI","Carbon Pricing",1,2,0,0,1,"OECD","Fuel excise tax","Driving taxation","Carbon Pricing","Market","jump",1
"128","Transport","Excise Tax Transport","CZE",2004,5,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Fuel excise tax","Driving taxation","Carbon Pricing","Market","jump",1
"129","Transport","Excise Tax Transport","IRL",2004,7,"MBI","Carbon Pricing",2,4,0,1,0,"OECD","Fuel excise tax","Driving taxation","Carbon Pricing","Market","jump",1
"130","Transport","Investment in Rail Infrastructure","TUR",2004,4,"NMBI","Other NMBI",2,3,0,1,1,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",0
"131","Transport","Investment in Rail Infrastructure","SWE",2004,8,"NMBI","Other NMBI",2,2,0,1,1,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"132","Transport","Labels Passenger Cars","HUN",2004,10,"NMBI","Information",10,10,1,1,1,"OECD","Label","Label","Information","Non-market","jump",1
"133","Transport","Labels Passenger Cars","CZE",2004,10,"NMBI","Information",10,10,1,1,1,"OECD","Label","Label","Information","Non-market","jump",1
"134","Transport","Labels Passenger Cars","POL",2004,10,"NMBI","Information",10,10,1,1,1,"OECD","Label","Label","Information","Non-market","jump",1
"135","Transport","Labels Passenger Cars","SVK",2004,10,"NMBI","Information",10,10,1,1,1,"OECD","Label","Label","Information","Non-market","jump",1
"136","Buildings","BuildingEnergyCodes","FRA",2005,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD","Building energy code","Building code","Performance Standards","Non-market","jump",1
"137","Buildings","BuildingEnergyCodes","ITA",2005,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD","Building energy code","Building code","Performance Standards","Non-market","jump",1
"138","Buildings","BuildingEnergyCodes","IDN",2005,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD","Building energy code","Building code","Performance Standards","Non-market","jump",0
"139","Buildings","Financial support","FRA",2005,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Subsidy","Green subsidy","","Market","jump",1
"140","Buildings","Financial support","KOR",2005,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Subsidy","Green subsidy","","Market","jump",0
"141","Buildings","Labels Appliances","CHN",2005,8,"NMBI","Information",8,8,1,1,1,"OECD","Label","Label","Information","Non-market","jump",0
"142","Buildings","MEPS of appliances","ZAF",2005,3,"NMBI","Performance Standards",3,3,1,1,1,"OECD","Minimum energy performance standard","Minimum energy performance standard","Performance Standards","Non-market","jump",0
"143","Electricity","AirEmissionStandards","NLD",2005,6,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"144","Electricity","AirEmissionStandards","AUS",2005,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"145","Electricity","AirEmissionStandards","KOR",2005,7,"NMBI","Performance Standards",4,4,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",0
"146","Electricity","AirEmissionStandards","GRC",2005,4,"NMBI","Performance Standards",2,2,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"147","Electricity","AirEmissionStandards","POL",2005,5,"NMBI","Performance Standards",4,4,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
"148","Electricity","Feed-In-Tariffs","CHE",2005,7,"MBI","Subsidy",7,7,1,1,1,"OECD","Renewable feed in tariff","Renewable subsidy","Subsidy","Market","jump",1
"149","Electricity","Feed-In-Tariffs","ITA",2005,3,"MBI","Subsidy",3,3,0,1,1,"OECD","Renewable feed in tariff","Renewable subsidy","Subsidy","Market","jump",1
"150","Electricity","Feed-In-Tariffs","PRT",2005,5,"MBI","Subsidy",2,2,0,1,1,"OECD","Renewable feed in tariff","Renewable subsidy","Subsidy","Market","jump",1
"151","Electricity","Renewable energy certificates","POL",2005,4,"MBI","Subsidy",4,4,1,1,1,"OECD","Renewable portfolio standard","Renewable portfolio standard","Subsidy","Non-market","jump",1
"152","Transport","Congestion charge","DEU",2005,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Congestion charge","Driving taxation","","Market","jump",1
"153","Transport","Excise Tax Transport","KOR",2005,8,"MBI","Carbon Pricing",2,2,0,1,1,"OECD","Fuel excise tax","Driving taxation","Carbon Pricing","Market","jump",0
"154","Transport","Investment in Rail Infrastructure","NLD",2005,8,"NMBI","Other NMBI",2,1,0,1,0,"OECD","Public expenditure for rail","Public rail investment","Other NMBI","Non-market","jump",1
"155","Transport","MEPS Transport","CHN",2005,5,"NMBI","Performance Standards",5,5,1,1,1,"OECD","Minimum energy performance standard","Minimum energy performance standard","Performance Standards","Non-market","jump",0
"156","Transport","Taxation","FRA",2005,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Vehicle tax","Vehicle taxation","","Market","jump",1
"157","Buildings","BuildingEnergyCodes","HUN",2006,10,"NMBI","Performance Standards",5,5,0,1,1,"OECD","Building energy code","Building code","Performance Standards","Non-market","jump",1
"158","Buildings","BuildingEnergyCodes","GBR",2006,10,"NMBI","Performance Standards",10,10,1,1,1,"OECD","Building energy code","Building code","Performance Standards","Non-market","jump",1
"159","Buildings","Financial support","HUN",2006,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Subsidy","Green subsidy","","Market","jump",1
"160","Buildings","Financial support","SWE",2006,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Subsidy","Green subsidy","","Market","jump",1
"161","Buildings","Financial support","USA",2006,NA,NA,NA,NA,NA,NA,NA,NA,"add-on","Subsidy","Green subsidy","","Market","jump",1
"162","Buildings","Labels Appliances","BRA",2006,8,"NMBI","Information",3,3,0,1,1,"OECD","Label","Label","Information","Non-market","jump",0
"163","Buildings","Labels Appliances","JPN",2006,10,"NMBI","Information",10,10,1,1,1,"OECD","Label","Label","Information","Non-market","jump",1
"164","Buildings","Labels Appliances","IND",2006,3,"NMBI","Information",3,3,1,1,1,"OECD","Label","Label","Information","Non-market","jump",0
"165","Buildings","Labels Appliances","ARG",2006,3,"NMBI","Information",3,3,1,1,1,"OECD","Label","Label","Information","Non-market","jump",0
"166","Electricity","AirEmissionStandards","ITA",2006,5,"NMBI","Performance Standards",3,3,0,1,1,"OECD","Air pollution standard","Air pollution standard","Performance Standards","Non-market","jump",1
